arm,symbol,date,trade_date,base_score,base_rank,base_pct,recent_score,recent_rank,recent_pct,risk_flags,event_flags,short_boost,gate_tier,gate_reason,final_rank,fusion_score_col,fusion_rank,arm_rank,arm_score,ret_fwd_3d,ret_fwd_3d_cs,ret_fwd_5d,ret_fwd_5d_cs
baseline,688521,2026-06-02,2026-06-02,0.011877522853203261,21,0.9333333333333333,0.004167786473960362,37,0.88,,,-0.053333333333333344,A_MAIN,"base strong, recent confirms",19,0.02265495736286114,21,21,0.02265495736286114,-0.11416094822208356,-0.0725519012010521,-0.04961530463713859,-0.01527870835137933
baseline,603986,2026-06-02,2026-06-02,0.019966203289709994,4,0.99,-6.442800860770082e-05,87,0.7133333333333334,,,-0.2766666666666666,A_MAIN,"base strong, recent confirms",3,0.022427721088435375,22,22,0.022427721088435375,-0.03701521646384831,0.004593830557183147,-0.02313958921642334,0.01119700706933592
baseline,000002,2026-06-02,2026-06-02,0.013910548330032196,16,0.95,0.003075224361722602,48,0.8433333333333334,,,-0.10666666666666658,A_MAIN,"base strong, recent confirms",14,0.022417153996101363,23,23,0.022417153996101363,-0.04268292682926822,-0.001073879808236762,-0.03963414634146334,-0.005297550055704078
baseline,688012,2026-06-02,2026-06-02,0.012814820046039548,19,0.94,0.003088799682546821,47,0.8466666666666667,,,-0.09333333333333327,A_MAIN,"base strong, recent confirms",17,0.02200402224062463,24,24,0.02200402224062463,-0.07152350307778399,-0.029914456056752532,0.011156966983771666,0.045493563269530926
baseline,600176,2026-06-02,2026-06-02,0.004724863803308312,59,0.8066666666666666,0.007324864333935069,15,0.9533333333333334,,,0.14666666666666672,A_MAIN,"base strong, recent confirms",38,0.02173669467787115,25,25,0.02173669467787115,-0.06198892112898957,-0.020379874107958114,0.03851226589290424,0.0728488621786635
baseline,301236,2026-06-02,2026-06-02,0.004007569150199752,67,0.78,0.007889165654479741,14,0.9566666666666667,,,0.17666666666666664,B_SHORT_BOOST,recent model strongly boosts an acceptable base name,39,0.02138752926154501,26,26,0.02138752926154501,-0.0013780431786862835,0.040231003842345174,0.007349563619660104,0.041686159905419365
baseline,601888,2026-06-02,2026-06-02,0.005341958841314955,49,0.84,0.005587656969174068,25,0.92,,,0.08000000000000007,A_MAIN,"base strong, recent confirms",35,0.020939017808958446,27,27,0.020939017808958446,0.007011393514461117,0.048620440535492575,0.01752848378615246,0.05186508007191172
baseline,300394,2026-06-02,2026-06-02,0.01436780006566137,15,0.9533333333333334,0.0005246282716644035,81,0.7333333333333333,,,-0.22000000000000008,A_MAIN,"base strong, recent confirms",13,0.020425531914893616,28,28,0.020425531914893616,-0.14531818309978295,-0.10370913607875148,-0.17351340682888328,-0.13917681054312403
baseline,688396,2026-06-02,2026-06-02,0.004507438245804195,62,0.7966666666666666,0.005886960603954634,22,0.93,,,0.13333333333333341,B_SHORT_BOOST,recent model strongly boosts an acceptable base name,42,0.02039184326269492,29,29,0.02039184326269492,-0.1247552447552448,-0.08314619773421333,-0.1072727272727273,-0.07293613098696804
baseline,600026,2026-06-02,2026-06-02,0.006553149960336875,39,0.8733333333333333,0.0040686623329620536,38,0.8766666666666667,,,0.0033333333333334103,A_MAIN,"base strong, recent confirms",32,0.020305091733663162,30,30,0.020305091733663162,-0.06633221850613158,-0.024723171485100122,-0.07580824972129341,-0.04147165343553415
