arm,symbol,date,trade_date,base_score,base_rank,base_pct,recent_score,recent_rank,recent_pct,risk_flags,event_flags,short_boost,gate_tier,gate_reason,final_rank,fusion_score_col,fusion_rank,arm_rank,arm_score,ret_fwd_3d,ret_fwd_3d_cs,ret_fwd_5d,ret_fwd_5d_cs
turnover_aware,002837,2026-06-29,2026-06-29,0.011275620065173667,33,0.8926174496644296,-0.00016126721809208767,76,0.7483221476510067,,,-0.1442953020134229,A_MAIN,"base strong, recent confirms",28,0.018105629348513598,43,43,0.018105629348513598,-0.10218702865761686,-0.10884962560031927,,
turnover_aware,300033,2026-06-29,2026-06-29,0.007847986084844698,54,0.8221476510067114,0.0034624093825106122,50,0.8355704697986577,,,0.01342281879194629,A_MAIN,"base strong, recent confirms",39,0.017862838915470493,44,44,0.017862838915470493,0.021493775933610015,0.014831178990907603,,
turnover_aware,688111,2026-06-29,2026-06-29,0.007570604619391647,58,0.8087248322147651,0.003548335902412942,49,0.8389261744966443,,,0.030201342281879207,A_MAIN,"base strong, recent confirms",42,0.017648888197791944,45,45,0.017648888197791944,-0.0022188650741195026,-0.008881462016821915,,
turnover_aware,002050,2026-06-29,2026-06-29,0.0031870477848124786,113,0.6241610738255033,0.010661236259803204,27,0.912751677852349,,,0.28859060402684567,B_SHORT_BOOST,recent model strongly boosts an acceptable base name,51,0.017274599694372467,46,46,0.017274599694372467,0.11772758384668047,0.11106498690397806,,
turnover_aware,002422,2026-06-29,2026-06-29,0.005542835919862482,86,0.714765100671141,0.006719660302404998,37,0.8791946308724832,,,0.1644295302013422,B_SHORT_BOOST,recent model strongly boosts an acceptable base name,55,0.017158593419008612,47,47,0.017158593419008612,0.24558670820353035,0.23892411126082794,,
turnover_aware,603392,2026-06-29,2026-06-29,0.011717620650522894,30,0.9026845637583892,-0.0021967132190823897,111,0.6308724832214765,,,-0.27181208053691275,A_MAIN,"base strong, recent confirms",26,0.016959064327485382,48,48,0.016959064327485382,0.06117908787541726,0.054516490932714844,,
turnover_aware,600547,2026-06-29,2026-06-29,0.011224858321482904,34,0.889261744966443,-0.001649988021954511,99,0.6711409395973155,,,-0.21812080536912748,A_MAIN,"base strong, recent confirms",29,0.016927606048441055,49,49,0.016927606048441055,0.1294932871372887,0.12283069019458628,,
turnover_aware,300418,2026-06-29,2026-06-29,0.004190890447176945,98,0.674496644295302,0.008601371161177027,35,0.8859060402684564,,,0.21140939597315445,B_SHORT_BOOST,recent model strongly boosts an acceptable base name,54,0.016855429713524318,50,50,0.016855429713524318,0.05698711595639239,0.05032451901368997,,
turnover_aware,001979,2026-06-29,2026-06-29,0.008742460776887367,45,0.8523489932885906,-0.00018228626406747186,77,0.7449664429530202,,,-0.10738255033557043,A_MAIN,"base strong, recent confirms",35,0.016823079596802223,51,51,0.016823079596802223,0.034214618973561484,0.02755202203085907,,
turnover_aware,688256,2026-06-29,2026-06-29,0.0035550748999627693,107,0.6442953020134228,0.009007054435114853,33,0.8926174496644296,,,0.2483221476510068,B_SHORT_BOOST,recent model strongly boosts an acceptable base name,53,0.016740712124138822,52,52,0.016740712124138822,-0.15201654601861425,-0.15867914296131666,,
