symbol,date,close
601186,2026-07-01,6.05
601186,2026-07-02,6.08
601186,2026-07-03,6.12
600196,2026-06-29,22.73
600196,2026-06-30,22.47
600196,2026-07-01,23.12
600196,2026-07-02,23.03
600196,2026-07-03,23.29
000858,2026-06-29,74.0
000858,2026-06-30,74.0
000858,2026-07-01,74.52
000858,2026-07-02,73.5
000858,2026-07-03,73.21
002027,2026-06-29,4.82
002027,2026-06-30,4.84
002027,2026-07-01,4.85
002027,2026-07-02,4.91
002027,2026-07-03,4.9
601901,2026-06-29,7.15
601901,2026-06-30,7.2
601901,2026-07-01,7.48
601901,2026-07-02,7.34
601901,2026-07-03,7.32
688472,2026-06-29,10.74
688472,2026-06-30,10.82
688472,2026-07-01,10.9
688472,2026-07-02,10.55
688472,2026-07-03,10.67
000895,2026-06-29,22.79
000895,2026-06-30,22.4
000895,2026-07-01,23.22
000895,2026-07-02,23.28
000895,2026-07-03,23.3
601318,2026-06-29,48.6
601318,2026-06-30,47.74
601318,2026-07-01,49.53
601318,2026-07-02,48.92
601318,2026-07-03,49.09
600436,2026-06-29,113.37
600436,2026-06-30,109.28
600436,2026-07-01,114.77
600436,2026-07-02,113.8
600436,2026-07-03,114.2
300015,2026-06-29,8.6
300015,2026-06-30,8.26
300015,2026-07-01,8.54
300015,2026-07-02,8.46
300015,2026-07-03,8.55
601336,2026-06-29,60.49
601336,2026-06-30,59.66
601336,2026-07-01,65.38
601336,2026-07-02,63.48
601336,2026-07-03,63.52
300760,2026-06-29,137.49
300760,2026-06-30,135.83
300760,2026-07-01,141.7
300760,2026-07-02,139.2
300760,2026-07-03,140.02
600809,2026-06-29,109.25
600809,2026-06-30,109.37
600809,2026-07-01,110.86
600809,2026-07-02,109.17
600809,2026-07-03,109.25
600009,2026-06-29,23.03
600009,2026-06-30,22.84
600009,2026-07-01,23.43
600009,2026-07-02,23.03
600009,2026-07-03,22.92
000301,2026-06-29,11.3
000301,2026-06-30,11.45
000301,2026-07-01,12.02
000301,2026-07-02,12.12
000301,2026-07-03,12.55
600233,2026-06-29,15.16
600233,2026-06-30,15.75
600233,2026-07-01,17.33
600233,2026-07-02,17.93
600233,2026-07-03,17.2
600066,2026-06-29,26.92
600066,2026-06-30,26.81
600066,2026-07-01,28.15
600066,2026-07-02,27.51
600066,2026-07-03,28.9
600519,2026-06-29,1194.96
600519,2026-06-30,1185.49
600519,2026-07-01,1193.01
600519,2026-07-02,1203.0
600519,2026-07-03,1194.45
603369,2026-06-29,24.19
603369,2026-06-30,23.71
603369,2026-07-01,24.24
603369,2026-07-02,24.2
603369,2026-07-03,25.09
000333,2026-06-29,77.27
000333,2026-06-30,75.53
000333,2026-07-01,77.4
000333,2026-07-02,77.01
000333,2026-07-03,77.96
300251,2026-06-29,10.95
300251,2026-06-30,11.09
300251,2026-07-01,11.43
300251,2026-07-02,11.71
300251,2026-07-03,11.67
688271,2026-06-29,102.03
688271,2026-06-30,101.23
688271,2026-07-01,103.88
688271,2026-07-02,103.88
688271,2026-07-03,104.93
000963,2026-06-29,28.72
000963,2026-06-30,28.12
000963,2026-07-01,29.57
000963,2026-07-02,29.49
000963,2026-07-03,30.05
600918,2026-06-29,5.38
600918,2026-06-30,5.32
600918,2026-07-01,5.5
600918,2026-07-02,5.44
600918,2026-07-03,5.46
600018,2026-06-29,4.83
600018,2026-06-30,4.72
600018,2026-07-01,4.81
600018,2026-07-02,4.83
600018,2026-07-03,4.86
300832,2026-06-29,43.0
300832,2026-06-30,42.0
300832,2026-07-01,43.81
300832,2026-07-02,44.2
300832,2026-07-03,44.3
601117,2026-06-29,7.63
601117,2026-06-30,7.35
601117,2026-07-01,7.59
