symbol,date,trade_date,base_score,base_rank,base_pct,recent_score,recent_rank,recent_pct,risk_flags,event_flags,short_boost,gate_tier,gate_reason,final_rank
601607,2026-07-03,2026-07-03,0.0017797689201036794,151,0.4966442953020134,-0.0061806581294085805,262,0.12416107382550336,,,-0.3724832214765101,E_REJECT,base and recent are both weak,101
600039,2026-07-03,2026-07-03,0.0017537291197344878,153,0.4899328859060403,-0.006236847497315837,263,0.12080536912751678,,,-0.3691275167785235,E_REJECT,base and recent are both weak,102
600346,2026-07-03,2026-07-03,0.0017365708277228382,154,0.4865771812080537,-0.00330253283544263,180,0.39932885906040266,,,-0.08724832214765105,E_REJECT,base and recent are both weak,103
601058,2026-07-03,2026-07-03,0.0017292978409834839,155,0.48322147651006714,-0.0024458991054963626,156,0.4798657718120805,,,-0.003355704697986628,E_REJECT,base and recent are both weak,104
601818,2026-07-03,2026-07-03,0.0017249807673723795,156,0.4798657718120805,-0.0036549120181871763,189,0.3691275167785235,,,-0.110738255033557,E_REJECT,base and recent are both weak,105
600089,2026-07-03,2026-07-03,0.0017245982838869339,157,0.47651006711409394,-0.0016772960771797084,134,0.5536912751677853,,,0.07718120805369133,E_REJECT,base and recent are both weak,106
300251,2026-07-03,2026-07-03,0.0017231601720699497,158,0.47315436241610737,-0.002500658408152722,161,0.46308724832214765,,,-0.010067114093959717,E_REJECT,base and recent are both weak,107
000596,2026-07-03,2026-07-03,0.0017203427331915382,159,0.4697986577181208,-0.00779911737390332,287,0.040268456375838924,,,-0.42953020134228187,E_REJECT,base and recent are both weak,108
601618,2026-07-03,2026-07-03,0.0016915737994159725,160,0.4664429530201342,-0.0031706808227113083,178,0.40604026845637586,,,-0.06040268456375836,E_REJECT,base and recent are both weak,109
002837,2026-07-03,2026-07-03,0.001644319028406375,163,0.4563758389261745,-0.003643576025969046,188,0.3724832214765101,,,-0.08389261744966442,E_REJECT,base and recent are both weak,110
300418,2026-07-03,2026-07-03,0.001629468295441511,164,0.45302013422818793,-0.009600735515106078,293,0.020134228187919462,,,-0.43288590604026844,E_REJECT,base and recent are both weak,111
600009,2026-07-03,2026-07-03,0.0016133124840064551,166,0.4463087248322148,-0.004895891001643614,229,0.2348993288590604,,,-0.2114093959731544,E_REJECT,base and recent are both weak,112
600016,2026-07-03,2026-07-03,0.001556574993523611,167,0.4429530201342282,-0.003462942813377554,183,0.38926174496644295,,,-0.05369127516778527,E_REJECT,base and recent are both weak,113
300999,2026-07-03,2026-07-03,0.0015323044009096644,168,0.4395973154362416,-0.005249405282790924,237,0.2080536912751678,,,-0.2315436241610738,E_REJECT,base and recent are both weak,114
000708,2026-07-03,2026-07-03,0.0015258904358680695,169,0.436241610738255,-0.0054415396524012,240,0.19798657718120805,,,-0.23825503355704697,E_REJECT,base and recent are both weak,115
601919,2026-07-03,2026-07-03,0.001513831426755097,171,0.42953020134228187,-0.004509820000831666,213,0.28859060402684567,,,-0.1409395973154362,E_REJECT,base and recent are both weak,116
601800,2026-07-03,2026-07-03,0.0015020830393797453,172,0.4261744966442953,-0.0029119441366276056,174,0.41946308724832215,,,-0.006711409395973145,E_REJECT,base and recent are both weak,117
000895,2026-07-03,2026-07-03,0.0014922788079001952,173,0.4228187919463087,-0.006070584729065024,260,0.13087248322147652,,,-0.2919463087248322,E_REJECT,base and recent are both weak,118
603893,2026-07-03,2026-07-03,0.001401713027907365,174,0.41946308724832215,-0.0026121959450497744,165,0.44966442953020136,,,0.030201342281879207,E_REJECT,base and recent are both weak,119
688271,2026-07-03,2026-07-03,0.0013998539163670462,175,0.4161073825503356,-0.008463174749375569,290,0.030201342281879196,,,-0.3859060402684564,E_REJECT,base and recent are both weak,120
002352,2026-07-03,2026-07-03,0.0013319965924397162,176,0.412751677852349,-0.0037124396134214496,194,0.3523489932885906,,,-0.06040268456375841,E_REJECT,base and recent are both weak,121
601186,2026-07-03,2026-07-03,0.0013035315533787353,177,0.40939597315436244,-0.005550894267498418,247,0.174496644295302,,,-0.23489932885906042,E_REJECT,base and recent are both weak,122
