arm,metric,mean,std,n,icir
fixed_weight_0.3,top50_ret_fwd_5d_gross,0.022279661967062454,0.043809304597295644,19,
fixed_weight_0.5,top50_ret_fwd_5d_gross,0.022474226250523126,0.04589056628736736,19,
fixed_weight_0.7,top50_ret_fwd_5d_gross,0.02247376438645186,0.0484263720856132,19,
gate_first,top50_ret_fwd_5d_gross,0.02206118062725629,0.0464985800199992,19,
gate_first_noveto,top50_ret_fwd_5d_gross,0.02206118062725629,0.0464985800199992,19,
recent_heavy,top50_ret_fwd_5d_gross,0.022279661967062454,0.043809304597295644,19,
recent_only,top50_ret_fwd_5d_gross,0.02285807497953894,0.04350246689244816,19,
rrf,top50_ret_fwd_5d_gross,0.022820435439837316,0.04750705863287285,19,
base_only,top50_ret_fwd_5d_net,0.021268381211747005,0.04960785222340485,19,
fixed_weight_0.3,top50_ret_fwd_5d_net,0.021279661967062456,0.043809304597295644,19,
fixed_weight_0.5,top50_ret_fwd_5d_net,0.021474226250523122,0.04589056628736736,19,
fixed_weight_0.7,top50_ret_fwd_5d_net,0.02147376438645186,0.0484263720856132,19,
gate_first,top50_ret_fwd_5d_net,0.02106118062725629,0.0464985800199992,19,
gate_first_noveto,top50_ret_fwd_5d_net,0.02106118062725629,0.0464985800199992,19,
recent_heavy,top50_ret_fwd_5d_net,0.021279661967062456,0.043809304597295644,19,
recent_only,top50_ret_fwd_5d_net,0.02185807497953894,0.04350246689244817,19,
rrf,top50_ret_fwd_5d_net,0.021820435439837315,0.04750705863287285,19,
base_only,turnover_top20,0.6605263157894736,,1,
fixed_weight_0.3,turnover_top20,0.65,,1,
fixed_weight_0.5,turnover_top20,0.6605263157894735,,1,
fixed_weight_0.7,turnover_top20,0.6842105263157895,,1,
gate_first,turnover_top20,0.6868421052631579,,1,
gate_first_noveto,turnover_top20,0.6868421052631579,,1,
recent_heavy,turnover_top20,0.65,,1,
recent_only,turnover_top20,0.581578947368421,,1,
rrf,turnover_top20,0.6526315789473685,,1,
base_only,turnover_top50,0.5010526315789473,,1,
fixed_weight_0.3,turnover_top50,0.5021052631578947,,1,
fixed_weight_0.5,turnover_top50,0.5147368421052632,,1,
fixed_weight_0.7,turnover_top50,0.503157894736842,,1,
gate_first,turnover_top50,0.49789473684210533,,1,
gate_first_noveto,turnover_top50,0.49789473684210533,,1,
recent_heavy,turnover_top50,0.5021052631578947,,1,
recent_only,turnover_top50,0.4789473684210526,,1,
rrf,turnover_top50,0.48,,1,
gate_first,veto_count,0.0,0.0,20,
